title,vote_average,vote_count,revenue,keywords
Harry Potter and the Goblet of Fire,7.801,21653,895921036,"witch, dying and death, based on novel or book, magic, boarding school, world cup, maze, mermaid, school of witchcraft, black magic, chosen one, sequel, vision, school, tournament, dragon, ghost, wizard, teenage hero, christmas, based on young adult novel, teen fantasy"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.135,11183,745013115,"witch, sibling relationship, saving the world, based on novel or book, self sacrifice, winter, fairy tale, cupboard, beaver, lion, surrealism, battle, based on children's book, fantasy world, duringcreditsstinger, 1940s, high fantasy, isekai, based on young adult novel, faun, good versus evil"
Batman Begins,7.719,22025,374218673,"martial arts, undercover, loss of loved one, secret identity, crime fighter, superhero, based on comic, rivalry, ninja, vigilante, tragic hero, super power, haunted by the past, evil doctor, master villain, unfulfilled love, inspirational"
Madagascar,6.917,11383,542064525,"friendship, island, escape, africa, lion, zoo, hippopotamus, giraffe, penguin, cartoon, villain, zebra, slapstick comedy, madagascar, animals, lemur, escaped animal, talking animal, 3d animation"
Charlie and the Chocolate Factory,7.04,15786,475000000,"factory worker, london, england, based on novel or book, chocolate, candy, overweight child, parent child relationship, grandparent grandchild relationship, teacher, tragedy, dark fantasy, gothic romance, candy bar"
National Geographic: Pyramids of Death,6.8,3,0,"mexico, pyramid, human sacrifice, educational, death, tomb, mexica (aztec), sacred"
Pride & Prejudice,8.1,8506,124604345,"based on novel or book, england, bachelor, family relationships, suitor, prejudice, period drama, pride, 18th century, opposites attract, gentleman, georgian or regency era, sisters, romantic"
Corpse Bride,7.584,9910,118133252,"skeleton, love triangle, cheating, wedding vows, shyness, arranged marriage, marriage, grave, villain, bride, musical, wedding ring, money, stop motion, wedding, corpse, wedding ceremony, playing piano, parents, macabre, dark fantasy, bride and groom, ring, scoundrel, 19th century, underworld, romantic, ghoulish"
My Brother's Wife,6.381,135,0,"pregnancy, sex scandal, swimmer"
Kingdom of Heaven,7.005,4694,218366336,"blacksmith, muslim, crusade, jerusalem, catapult, swordsman, battlefield, knight, religion, epic battle, desert battle, knight templars, 12th century, saladin, suspicious, christian, dramatic, egotistical, ambiguous, antagonistic, audacious, authoritarian, complicated, derogatory, dubious, melodramatic, sword battle"
Chicken Little,5.9,4059,314400000,"fish, small town, space marine, superhero, chicken, cartoon, alien, coming of age, computer animation, best friend, alien invasion, animals, duringcreditsstinger, spaceship, talking animal, 3d animation, awestruck"
The 40 Year Old Virgin,6.415,7025,177400000,"first time, virgin, male friendship, co-workers relationship, poker game, sex comedy, virginity, sex"
Barbie and the Magic of Pegasus,7.209,757,0,"princess, magic, flying horse, pegasus, based on toy, female protagonist, ice skating, 3d animation"
Wallace & Gromit: The Curse of the Were-Rabbit,7.113,2975,192610372,"northern england, hunter, competition, village, garden, villain, parody, vegetable, yorkshire, stop motion, contest, dog, rabbit, pest control, giant vegetable, claymation, plasticine, joyous, whimsical"
