title,vote_average,vote_count,revenue,keywords
Wonder Woman 1984,6.4,8855,169601036,"superhero, based on comic, woman director, 1980s, action hero, dc extended universe (dceu)"
Possessor,6.4,985,911000,"mind control, assassin, gun, dystopia, possession, hallucination, gore, murder, sanity, multiple stabbings, brutality, machine, tech noir, corporation, assassination attempt, mind possession, brain implant, body horror, mind parasite"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.21,4329,523542183,"fight, magic, supernatural, psychology, gore, sequel, coming of age, survival, tragedy, based on manga, demon, historical, family, mutilation, dark fantasy, shounen, anime, taisho period"
The SpongeBob Movie: Sponge on the Run,7.422,2925,4810790,"part live action, based on tv series"
Mortal Kombat Legends: Scorpion's Revenge,8.1,1427,0,"magic, ninja fighter, revenge, sorcerer, tournament, shaolin monk, fighting, based on video game, adult animation, god of thunder"
Fate/stay night: Heaven's Feel III. Spring Song,7.681,193,20150000,"japan, holy grail, fight, magic, supernatural, sequel, alternate version, based on video game, anime, based on visual novel, japanese high school"
To All the Boys: P.S. I Still Love You,6.819,2647,0,"based on novel or book, love triangle, love letter, sequel"
The Gentlemen,7.669,6308,115171795,"london, england, robbery, businessman, gangster, dark comedy, betrayal, marijuana, business, jewish american, gunfight, brutality, american abroad, irishman, scheme, playful, casual"
The Croods: A New Age,7.458,4027,215905815,"sequel, prehistory, aftercreditsstinger, duringcreditsstinger, candid, playful, joyous, admiring, adoring"
The Christmas Chronicles: Part Two,6.488,1121,0,"elves, holiday, santa claus, saving christmas, sequel, christmas, santa's elves"
The Most Dangerous Man in Europe: Otto Skorzeny's After War,6.7,13,0,"mossad, madrid, spain, espionage, cold war, mallorca island, spain, world war ii, waffen ss, biography, franco regime (francoism), historical figure, commando, post world war ii, oss (office of strategic services), nazi war criminal"
Justice League Dark: Apokolips War,8.212,1524,0,"superhero, based on comic, hopeless, depressing, bitter, disrespectful"
Under the Riccione Sun,6.2,565,0,"summer, summer vacation"
Def Leppard 'Hits Vegas' Live At Planet Hollywood 2020,8.7,3,0,"concert, rock concert"
Mom's Friend 2020,2.5,2,0,softcore
The Assistant,6.294,499,1338881,"movie business, corporate world, employer employee relationship, personal assistant, woman director, abuse of power, metoo, workplace culture, depressing, ambiguous, bold, foreboding"
Soul,8.103,11049,121977511,"new york city, jazz, musician, cat, self-discovery, jazz singer or musician, teacher, aftercreditsstinger, duringcreditsstinger, life after death, thoughtful, philosophical, sentimental"
Straight Up,6.852,81,16080,"sexual identity, soulmates, bisexuality, obsessive compulsive disorder (ocd), los angeles, california, sexual confusion, lgbt, chance meeting, psychoanalyst, asexuality, gay theme, playful, aspiring actress, relaxed, lighthearted, whimsical"
Military Wives,6.5,187,0,"husband wife relationship, choir, affectation, military base, singing, angry, inspirational, dramatic, critical, hilarious, admiring, adoring, ambiguous, amused, complicated, enchant"
Batman: Death in the Family,7.095,459,0,"superhero, based on comic, interactive, short film"
American Pie Presents: Girls' Rules,6.2,680,0,"high school, teen movie, spin off, pie, ambivalent, sexual references"
Fatima,7.208,192,0,catholicism
After We Collided,7.16,5421,47990414,"based on novel or book, love, teenage crush"
Sonic the Hedgehog,7.297,10162,319715683,"friendship, video game, san francisco, california, road trip, cop, based on video game, duringcreditsstinger, bar fight, hedgehog, live action and animation, live action remake, playful, joyous, adoring, joyful"
Money Heist: The Phenomenon,7.445,1082,0,behind the scenes
Greenland,7.124,4842,52300000,"husband wife relationship, panic, kidnapping, looting, natural disaster, state of emergency, comet, end of the world, meteorite, disaster, apocalypse, destruction of planet, diabetic, army base, emergency, greenland, atlanta, georgia, amused, bold"
Let Him Go,6.822,738,7997460,"based on novel or book, loss of loved one, montana, abusive father, horse, north dakota, grief, grandson, death of son, neo-western, 1960s, abusive husband, daughter–in–law, shooting an animal, retired lawman"
The Last Full Measure,7.3,470,3364426,"vietnam war, affectation, grim, inspirational, provocative, adoring, appreciative, compassionate, dignified, disheartening, instructive, ominous, tragic"
You Should Have Left,6.084,940,0,"wales, husband wife relationship, countryside, based on novel or book, nightmare, house, time loop, writer, jealous husband, loop, family life"
The One and Only Ivan,7.351,614,0,"based on novel or book, circus, gorilla, based on true story, talking animal"
Lucy Shimmers and the Prince of Peace,8.4,330,0,"faith, peace, prince, christmas, jesus christ, christian faith"
Beyond Perfection: The Pianist Arturo Benedetti Michelangeli,8.5,1,0,pianist
Vanguard,6.366,580,50866901,"espionage, fight, kidnapping, bodyguard, survival, brutality, gun violence, skilled fighter, suspense"
Bad Boys for Life,7.126,8560,426505244,"mexico, miami, florida, detective, women's prison, sequel, prison escape, murder, drug cartel, police chase, police detective, buddy cop, buddy film, action hero, past relationship, reflective, dramatic"
The Dark and the Wicked,6.185,510,736153,"suicide, texas, haunting, possession, grief, priest, isolated farmhouse, goats, severed finger, brother sister relationship, rural"
Concrete Plans,6.294,17,0,"class differences, poker game, witness to murder, construction worker, buried, rich vs poor"
Roald Dahl's The Witches,6.345,2922,29303571,"hotel, witch, based on novel or book, mouse, transformation, orphan, based on children's book, talking animal"
The Call of the Wild,7.5,3870,111200000,"based on novel or book, affectation, gold rush, dog, sled dogs, yukon, canada, 19th century, pets, appreciative"
End of September,0.0,0,0,"stepbrother, difficult parents, struggles, alcoholic mother, short film, brother relation"
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,6.423,163,0,"kidnapping, bunker, interactive, based on tv series, witty"
The Unseen River,6.3,15,0,short film
It's for Your Own Good,6.2,42,0,"daughter, marriage, manipulation, family, father figure, meddling father"
Made in Abyss: Dawn of the Deep Soul,7.789,272,4971635,"child abuse, immortality, underground, gore, exploration, sequel, survival, human sacrifice, based on manga, robot, brutality, mature, mutilation, adventurer, dark fantasy, journey, seinen, anime"
The Way Back,6.641,1284,14590514,"change, alcoholism, widower, basketball team, basketball coach, addiction recovery, dramatic, admiring"
The Craft: Legacy,6.102,874,2300000,"witch, magic, black magic, dark fantasy, teen witch, woman director, karma, love spell, supernatural horror"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.89,10606,205537933,"police, pickpocket, chase, psychopath, superhero, nightclub, gang leader, based on comic, breaking the fourth wall, betrayal, vigilante, mobster, organized crime, shootout, female protagonist, orphan, criminal, police officer, police detective, spin off, death of family, crime family, female police officer, woman director, hand to hand combat, vigilantism, dc extended universe (dceu), supernatural power, betrayal of trust, vigilante justice, grand"
False Hopes,7.0,39,0,"photographer, matchmaking, best friend, dating, single mother, childhood friends, list, searching for love, widowed mother, requirements, rich woman, torn between two women, faith based, perfect woman, famous author"
Time Warp Vol. 2: Horror and Sci-Fi,6.4,5,0,"horror filmmaking, science fiction"
The Babysitter: Killer Queen,6.339,1770,0,"babysitter, sequel, satanic ritual, satanic cult, virgin sacrifice"
Prehistoric Worlds,9.0,1,0,"paleontology, climate change, scientific study, natural history, mass extinction, volcanic eruption, environmental change , soil science, nature documentary, planet earth, scientific research, environmental history, research scientist, documentary, human history, historical documentary"
Tenet,7.177,10653,365304105,"assassin, espionage, spy, time travel, mumbai (bombay), india, arms dealer, terrorism, terrorist attack, nuclear weapons, terrorist plot, backwards, alternate timeline, oslo, norway, time paradox, kyiv (kiev), ukraine, intense"
Phineas and Ferb the Movie: Candace Against the Universe,7.3,390,0,"cartoon, enthusiastic"
#Alive,7.221,1963,13416285,"escape, alone, survival, drone, zombie, apartment building, zombie apocalypse, virus, live stream, south korea, apartment, frightened"
Peninsula,6.744,2499,42698327,"dystopia, halloween, sequel, zombie, busan, south korea, south korea"
The Secret: Dare to Dream,7.271,643,3215636,"based on novel or book, love"
Dr. Seuss' The Grinch Musical,5.1,13,0,stage musical
Trump Card,4.9,32,0,"politics, socialism, usa politics, political documentary, news footage, united states of america (usa)"
Dolittle,6.589,3776,251410631,"ship, island, based on novel or book, victorian england, doctor, based on children's book, animals, veterinary, talking to animals, voyage"
The Princess Switch: Switched Again,6.799,908,0,"holiday, royal family, sequel, look-alike, christmas"
Father There Is Only One 2,7.524,564,14871307,"sequel, remake"
Nobody Sleeps in the Woods Tonight,5.228,705,0,"camping, machete, forest, parody, pedophile priest, basement, meteorite, cannibal, twins, killer, poland, survival horror, genetic mutation, gay theme"
The Tax Collector,5.626,510,942666,family relationships
The War with Grandpa,6.439,1023,43387445,"friendship, birthday, grandfather, teenage girl, family, family conflict, attic, changing room, resentment, duringcreditsstinger"
Psycho-Pass 3: First Inspector,7.6,103,757096,"police, detective, dystopia, conspiracy, cyberpunk, criminal, seinen, anime"
Ron Hopper's Misfortune,4.4,7,0,"dramatic, audacious"
Frenemies: Putin and Trump,6.7,7,0,"usa president, conspiracy theory, russian politics, summit, russian history, diplomacy, usa history, usa politics, global politics, russian president"
Breaking Surface,6.7,430,98157,"diving, affectation, norway, scuba diving, dog, rescue from drowning, killing a dog, angry, aggressive, christmas, zealous, unassuming, diving accident, desperate, sister sister relationship, didactic, absurd, dramatic, whimsical, admiring, adoring, ambiguous, ambivalent, amused, appreciative, assertive, audacious, awestruck, baffled, empathetic, enchant, enthusiastic, exhilarated, straightforward, sympathetic, tragic, vibrant"
Never Kiss a Man in a Christmas Sweater,6.5,51,0,christmas
Ghosts of War,6.253,572,345289,"video game, world war ii, supernatural, castle, haunted castle, bold"
Penn & Teller: Try This at Home Too,2.0,1,0,magic show
Promising Young Woman,7.402,3513,20379604,"psychopath, coffee shop, ohio, sociopath, revenge, predator turns victim, childhood friends, rape and revenge, woman director, medical school, pediatrician, barista, sexual predator, nice guy, prosocial psychopath, transgender, audacious, sardonic"
"Endings, Beginnings",6.058,258,0,"new love, love triangle, woman between two men, romance, love, beautiful woman, growing up, love interest, young woman, love affair, thirty something, young love, twenty something, white woman, failed romance, unhappy love, broken romances, growth, twisted love, single woman, young romance, romantic triangle, love story, female painter"
The Snail and the Whale,6.5,46,0,"based on novel or book, whale, cartoon, based on children's book, journey, animal rescue, short film, snail"
Derek DelGaudio's In & of Itself,7.552,77,0,"magic, stage show, live performance, human relationship, audience, self-help, live audience"
A Whisker Away,7.879,1455,0,"mask, secret love, magic, cat, shapeshifting, supernatural, bullying, anthropomorphism, slice of life, unrequited love, school, cartoon cat, animals, parallel world, personal growth, anime, isekai"
The Source of the Mountains,0.0,0,0,"short film, 3d animation"
The Good Traitor,5.396,24,0,"ambassador, world war ii, military, 1940s, greenland, war, german occupation of denmark"
Trolls World Tour,7.3,2223,49276818,"dancing, friendship, concert, country music, guitar, cloud, saxophone, sequel, jail, based on toy, rock music, alien abduction, singing, king, desert, pop music, flute, mirage, electronic music, k-pop, spaceship, jukebox musical"
Skin: A History of Nudity in the Movies,6.519,52,0,"movie business, interview, archive footage, social documentary, old footage, cinema history, old hollywood, hollywood history, film archives, social & cultural documentary, new hollywood, metoo, observational documentary, sex, hayes code, history and legacy, nudity, documentary"
The Last Thing He Wanted,4.891,527,0,"based on novel or book, sandinism, el salvador, co-workers relationship, woman director, investigative journalism, costa rica, 1980s, political thriller, weapons trafficking, iran–contra affair, father daughter relationship"
A Perfectly Normal Family,6.596,47,0,"parent child relationship, family relationships, woman director"
The Heist of the Century,7.748,826,7627100,"heist, bank robbery, bank heist, cine argentino"
How to Build a Girl,5.677,65,0,"family relationships, coming of age, teenage girl, music critic"
"Standing Up, Falling Down",6.3,52,0,"long island, new york, stand-up comedian"
"My Donkey, My Lover & I",6.4,379,0,"france, donkey, hiking, love affair, family vacation, riding a donkey, trekking, cheating husband"
