title,vote_average,vote_count,revenue,keywords
Avengers: Age of Ultron,7.271,23907,1405403694,"artificial intelligence (a.i.), saving the world, superhero, based on comic, sequel, vision, superhero team, creator, super villain, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, evil robot, good versus evil"
Fifty Shades of Grey,5.877,12185,569651467,"bad smell, based on novel or book, eroticism, perversion, spanking, billionaire, rich, bdsm, woman director, baffled"
Mom's Friend,7.0,24,0,softcore
Inside Out,7.91,22978,857611174,"dreams, san francisco, california, minnesota, sadness, cartoon, disgust, melancholy, ice hockey, imaginary friend, elementary school, family relationships, memory, fear, family, anger, unicorn, running away, duringcreditsstinger, thoughtful, emotions, joy, sentimental, compassionate, empathetic, hopeful, joyful"
Ex Machina,7.572,13873,36869414,"android, dancing, friendship, man vs machine, distrust, artificial intelligence (a.i.), isolation, technology, manipulation, high technology, treason, deception, norway, laboratory, robot, power outage, surveillance, rich, surveillance camera, consciousness, employer employee relationship, isolated house, wealthy man, existentialism, lockdown, emotional intelligence, female cyborg, human android relationship, tech company, critical, intense, big tech"
The Hunger Games: Mockingjay - Part 2,6.9,13057,653428261,"strong woman, based on novel or book, revolution, dystopia, death match, aggressive, based on young adult novel, romantic, ambiguous, comforting, compassionate, hopeful"
Mad Max: Fury Road,7.628,23568,378858340,"rescue, future, australia, chase, dystopia, post-apocalyptic future, survival, on the run, on the road, desert, convoy, peak oil, dark future, car, intense"
Southpaw,7.363,5671,91709827,"sports, fighter, tragedy, death, boxing, box ring, father daughter relationship"
Krampus,6.194,2313,61800000,"winter, holiday, santa claus, snowstorm, flashback, fireplace, snow, creature, power outage, destruction, demon, blizzard, based on myths, legends or folklore, christmas, bad kids, krampus, holiday horror"
Cinderella,6.826,7264,543514353,"magic, kingdom, fairy tale, prince, royalty, orphan, lost shoe, evil stepmother, based on fairy tale, retelling, live action and animation, live action remake"
New Folder 2,5.1,5,0,softcore
The Martian,7.691,20643,631058917,"spacecraft, planet mars, based on novel or book, nasa, isolation, botanist, alone, survival, space, engineering, stranded, astronaut, struggle for survival, duringcreditsstinger, deep space, potatoes, 2030s, faithful adaptation, optimistic"
Buddy's Mom,5.7,14,0,"eroticism, softcore"
Ant-Man,7.067,20461,519311965,"superhero, ant, master thief, shrinking, based on comic, heist, miniaturization, mentor protégé relationship, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), overprotective father, father daughter relationship, good versus evil, robbery gang, supersize, formiga"
X-Rated: The Greatest Adult Movies of All Time,6.424,192,0,"pornography, interview, filmmaking, adult filmmaking"
The Man from U.N.C.L.E.,7.082,6653,110045109,"central intelligence agency (cia), spy, cold war, kgb, remake, nostalgic, buddy cop, russian spy, american spy"
Ted 2,6.316,7810,215863606,"sperm bank, sequel, buddy, courthouse, teddy bear, aftercreditsstinger, toy comes to life, provocative"
Maze Runner: The Scorch Trials,6.734,10784,312296056,"based on novel or book, escape, resistance, dystopia, maze, post-apocalyptic future, infection, on the run, zombie, storm, disease, desert, sewer, antidote, corporation, virus, runner, city ruin, immunity, based on young adult novel"
Furious 7,7.222,11045,1515400000,"car race, speed, street race, revenge, race, cars, suspenseful, admiring, excited"
This Summer Feeling,5.571,42,0,"new york city, friendship, berlin, germany, paris, france, psychology"
Mutual Relations,6.5,19,0,softcore
